YearStart,YearEnd,LocationAbbr,LocationDesc,DataSource,Topic,Question,Response,DataValueUnit,DataValueType,DataValue,DataValueAlt,DataValueFootnoteSymbol,DatavalueFootnote,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1,StratificationCategory2,Stratification2,StratificationCategory3,Stratification3,GeoLocation,ResponseID,LocationID,TopicID,QuestionID,DataValueTypeID,StratificationCategoryID1,StratificationID1,StratificationCategoryID2,StratificationID2,StratificationCategoryID3,StratificationID3
2016,2016,NE,Nebraska,BRFSS,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,,%,Age-adjusted Prevalence,35.7,35.7,,,30.5,41.2,Race/Ethnicity,Hispanic,,,,,POINT (-99.36572062299967 41.6410409880005),,31,NPAW,NPAW1_1,AGEADJPREV,RACE,HIS,,,,
2018,2018,PR,Puerto Rico,BRFSS,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,,%,Crude Prevalence,32.7,32.7,,,30.6,34.9,Gender,Female,,,,,POINT (-66.590149 18.220833),,72,NPAW,NPAW1_1,CRDPREV,GENDER,GENF,,,,
2017,2017,ND,North Dakota,BRFSS,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,,%,Crude Prevalence,36.2,36.2,,,29.3,43.6,Race/Ethnicity,"Other, non-Hispanic",,,,,POINT (-100.11842104899966 47.47531977900047),,38,NPAW,NPAW1_1,CRDPREV,RACE,OTH,,,,
2018,2018,RI,Rhode Island,BRFSS,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,,%,Crude Prevalence,28.4,28.4,,,25.9,31,Gender,Male,,,,,POINT (-71.52247031399963 41.70828019300046),,44,NPAW,NPAW1_1,CRDPREV,GENDER,GENM,,,,
2017,2017,PR,Puerto Rico,BRFSS,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,,%,Crude Prevalence,30.0,30,,,27.1,33,Gender,Male,,,,,POINT (-66.590149 18.220833),,72,NPAW,NPAW1_1,CRDPREV,GENDER,GENM,,,,
2015,2015,RI,Rhode Island,BRFSS,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,,%,Crude Prevalence,27.9,27.9,,,25.4,30.6,Gender,Male,,,,,POINT (-71.52247031399963 41.70828019300046),,44,NPAW,NPAW1_1,CRDPREV,GENDER,GENM,,,,
2018,2018,AL,Alabama,BRFSS,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,,%,Crude Prevalence,37.8,37.8,,,35.7,40,Gender,Female,,,,,POINT (-86.63186076199969 32.84057112200048),,01,NPAW,NPAW1_1,CRDPREV,GENDER,GENF,,,,
2017,2017,NE,Nebraska,BRFSS,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,,%,Crude Prevalence,34.6,34.6,,,30.1,39.3,Race/Ethnicity,Hispanic,,,,,POINT (-99.36572062299967 41.6410409880005),,31,NPAW,NPAW1_1,CRDPREV,RACE,HIS,,,,
2015,2015,RI,Rhode Island,BRFSS,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,,%,Crude Prevalence,24.1,24.1,,,22.1,26.2,Gender,Female,,,,,POINT (-71.52247031399963 41.70828019300046),,44,NPAW,NPAW1_1,CRDPREV,GENDER,GENF,,,,
2012,2012,FL,Florida,BRFSS,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,,%,Crude Prevalence,25.2,25.2,,,23.7,26.8,Overall,Overall,,,,,POINT (-81.92896053899966 28.932040377000476),,12,NPAW,NPAW1_1,CRDPREV,OVERALL,OVR,,,,
2012,2012,GA,Georgia,BRFSS,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,,%,Age-adjusted Prevalence,27.6,27.6,,,25.2,30.2,Gender,Male,,,,,POINT (-83.62758034599966 32.83968109300048),,13,NPAW,NPAW1_1,AGEADJPREV,GENDER,GENM,,,,
2012,2012,NE,Nebraska,BRFSS,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,,%,Age-adjusted Prevalence,32.8,32.8,,,28.3,37.6,Race/Ethnicity,Hispanic,,,,,POINT (-99.36572062299967 41.6410409880005),,31,NPAW,NPAW1_1,AGEADJPREV,RACE,HIS,,,,
2013,2013,HI,Hawaii,BRFSS,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,,%,Crude Prevalence,24.7,24.7,,,22.7,26.9,Gender,Male,,,,,POINT (-157.85774940299973 21.304850435000446),,15,NPAW,NPAW1_1,CRDPREV,GENDER,GENM,,,,
2016,2016,IL,Illinois,BRFSS,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,,%,Crude Prevalence,31.0,31,,,28.7,33.3,Gender,Female,,,,,POINT (-88.99771017799969 40.48501028300046),,17,NPAW,NPAW1_1,CRDPREV,GENDER,GENF,,,,
2018,2018,IN,Indiana,BRFSS,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,,%,Crude Prevalence,34.2,34.2,,,32.2,36.2,Gender,Female,,,,,POINT (-86.14996019399968 39.766910452000445),,18,NPAW,NPAW1_1,CRDPREV,GENDER,GENF,,,,
2014,2014,SC,South Carolina,BRFSS,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,,%,Crude Prevalence,31.7,31.7,,,29.9,33.6,Gender,Male,,,,,POINT (-81.04537120699968 33.998821303000454),,45,NPAW,NPAW1_1,CRDPREV,GENDER,GENM,,,,
2013,2013,MI,Michigan,BRFSS,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,,%,Crude Prevalence,31.9,31.9,,,30.4,33.5,Gender,Female,,,,,POINT (-84.71439026999968 44.6613195430005),,26,NPAW,NPAW1_1,CRDPREV,GENDER,GENF,,,,
2016,2016,MT,Montana,BRFSS,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,,%,Crude Prevalence,25.0,25,,,22.9,27.3,Gender,Male,,,,,POINT (-109.42442064499971 47.06652897200047),,30,NPAW,NPAW1_1,CRDPREV,GENDER,GENM,,,,
2018,2018,MT,Montana,BRFSS,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,,%,Crude Prevalence,31.2,31.2,,,20.4,44.4,Race/Ethnicity,"Multiracial, non-Hispanic",,,,,POINT (-109.42442064499971 47.06652897200047),,30,NPAW,NPAW1_1,CRDPREV,RACE,MRC,,,,
2017,2017,SD,South Dakota,BRFSS,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,,%,Crude Prevalence,29.5,29.5,,,26.6,32.6,Gender,Female,,,,,POINT (-100.3735306369997 44.353130053000484),,46,NPAW,NPAW1_1,CRDPREV,GENDER,GENF,,,,
2018,2018,SD,South Dakota,BRFSS,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,,%,Crude Prevalence,30.1,30.1,,,28.1,32.1,Overall,Overall,,,,,POINT (-100.3735306369997 44.353130053000484),,46,NPAW,NPAW1_1,CRDPREV,OVERALL,OVR,,,,
2013,2013,NC,North Carolina,BRFSS,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,,%,Crude Prevalence,22,22,,,17.8,26.9,Race/Ethnicity,Hispanic,,,,,POINT (-79.15925046299964 35.466220975000454),,37,NPAW,NPAW1_1,CRDPREV,RACE,HIS,,,,
2015,2015,OK,Oklahoma,BRFSS,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,,%,Crude Prevalence,33.7,33.7,,,31.2,36.3,Gender,Male,,,,,POINT (-97.52107021399968 35.47203135600046),,40,NPAW,NPAW1_1,CRDPREV,GENDER,GENM,,,,
2017,2017,OK,Oklahoma,BRFSS,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,,%,Crude Prevalence,36.9,36.9,,,34.5,39.3,Gender,Male,,,,,POINT (-97.52107021399968 35.47203135600046),,40,NPAW,NPAW1_1,CRDPREV,GENDER,GENM,,,,
2011,2011,ND,North Dakota,BRFSS,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,,%,Age-adjusted Prevalence,28.9,28.9,,,27.3,30.5,Overall,Overall,,,,,POINT (-100.11842104899966 47.47531977900047),,38,NPAW,NPAW1_1,AGEADJPREV,OVERALL,OVR,,,,
2013,2013,NC,North Carolina,BRFSS,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,,%,Age-adjusted Prevalence,29.1,29.1,,,27.8,30.5,Overall,Overall,,,,,POINT (-79.15925046299964 35.466220975000454),,37,NPAW,NPAW1_1,AGEADJPREV,OVERALL,OVR,,,,
2016,2016,TN,Tennessee,BRFSS,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,,%,Crude Prevalence,33.4,33.4,,,31,36,Gender,Female,,,,,POINT (-85.77449091399967 35.68094058000048),,47,NPAW,NPAW1_1,CRDPREV,GENDER,GENF,,,,
2012,2012,NC,North Carolina,BRFSS,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,,%,Age-adjusted Prevalence,29.3,29.3,,,27.7,31.1,Gender,Male,,,,,POINT (-79.15925046299964 35.466220975000454),,37,NPAW,NPAW1_1,AGEADJPREV,GENDER,GENM,,,,
2013,2013,SD,South Dakota,BRFSS,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,,%,Crude Prevalence,27.6,27.6,,,25.2,30.2,Gender,Female,,,,,POINT (-100.3735306369997 44.353130053000484),,46,NPAW,NPAW1_1,CRDPREV,GENDER,GENF,,,,
2018,2018,NC,North Carolina,BRFSS,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,,%,Crude Prevalence,36.6,36.6,,,23.8,51.6,Race/Ethnicity,"Multiracial, non-Hispanic",,,,,POINT (-79.15925046299964 35.466220975000454),,37,NPAW,NPAW1_1,CRDPREV,RACE,MRC,,,,
2013,2013,NC,North Carolina,BRFSS,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,,%,Age-adjusted Prevalence,30.1,30.1,,,28.2,32,Gender,Female,,,,,POINT (-79.15925046299964 35.466220975000454),,37,NPAW,NPAW1_1,AGEADJPREV,GENDER,GENF,,,,
2011,2011,VI,Virgin Islands,BRFSS,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,,%,Crude Prevalence,,,-,No data available,,,Gender,Male,,,,,POINT (-64.896335 18.335765),,78,NPAW,NPAW1_1,CRDPREV,GENDER,GENM,,,,
2015,2015,VI,Virgin Islands,BRFSS,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,,%,Crude Prevalence,,,-,No data available,,,Gender,Male,,,,,POINT (-64.896335 18.335765),,78,NPAW,NPAW1_1,CRDPREV,GENDER,GENM,,,,
2011,2011,NC,North Carolina,BRFSS,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,,%,Age-adjusted Prevalence,29.0,29,,,27.6,30.5,Overall,Overall,,,,,POINT (-79.15925046299964 35.466220975000454),,37,NPAW,NPAW1_1,AGEADJPREV,OVERALL,OVR,,,,
2015,2015,NC,North Carolina,BRFSS,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,,%,Age-adjusted Prevalence,30.0,30,,,28.5,31.6,Overall,Overall,,,,,POINT (-79.15925046299964 35.466220975000454),,37,NPAW,NPAW1_1,AGEADJPREV,OVERALL,OVR,,,,
2016,2016,CA,California,BRFSS,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,,%,Age-adjusted Prevalence,30.0,30,,,25.3,35.1,Race/Ethnicity,"Black, non-Hispanic",,,,,POINT (-120.99999953799971 37.63864012300047),,06,NPAW,NPAW1_1,AGEADJPREV,RACE,BLK,,,,
2011,2011,NC,North Carolina,BRFSS,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,,%,Age-adjusted Prevalence,40.8,40.8,,,37.3,44.5,Race/Ethnicity,"Black, non-Hispanic",,,,,POINT (-79.15925046299964 35.466220975000454),,37,NPAW,NPAW1_1,AGEADJPREV,RACE,BLK,,,,
2017,2017,AK,Alaska,BRFSS,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,,%,Age-adjusted Prevalence,33.8,33.8,,,30.1,37.8,Gender,Male,,,,,POINT (-147.72205903599973 64.84507995700051),,02,NPAW,NPAW1_1,AGEADJPREV,GENDER,GENM,,,,
2016,2016,AK,Alaska,BRFSS,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,,%,Age-adjusted Prevalence,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,"Black, non-Hispanic",,,,,POINT (-147.72205903599973 64.84507995700051),,02,NPAW,NPAW1_1,AGEADJPREV,RACE,BLK,,,,
2015,2015,AK,Alaska,BRFSS,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,,%,Crude Prevalence,29.1,29.1,,,20.4,39.7,Race/Ethnicity,"Multiracial, non-Hispanic",,,,,POINT (-147.72205903599973 64.84507995700051),,02,NPAW,NPAW1_1,CRDPREV,RACE,MRC,,,,
2013,2013,AK,Alaska,BRFSS,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,,%,Crude Prevalence,23.2,23.2,,,16.6,31.5,Race/Ethnicity,"Multiracial, non-Hispanic",,,,,POINT (-147.72205903599973 64.84507995700051),,02,NPAW,NPAW1_1,CRDPREV,RACE,MRC,,,,
2012,2012,AK,Alaska,BRFSS,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,,%,Age-adjusted Prevalence,33.6,33.6,,,22.4,47.1,Race/Ethnicity,"Black, non-Hispanic",,,,,POINT (-147.72205903599973 64.84507995700051),,02,NPAW,NPAW1_1,AGEADJPREV,RACE,BLK,,,,
2011,2011,AK,Alaska,BRFSS,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,,%,Age-adjusted Prevalence,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,"Black, non-Hispanic",,,,,POINT (-147.72205903599973 64.84507995700051),,02,NPAW,NPAW1_1,AGEADJPREV,RACE,BLK,,,,
2012,2012,AK,Alaska,BRFSS,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,,%,Crude Prevalence,25.7,25.7,,,23.9,27.5,Overall,Overall,,,,,POINT (-147.72205903599973 64.84507995700051),,02,NPAW,NPAW1_1,CRDPREV,OVERALL,OVR,,,,
2011,2011,AK,Alaska,BRFSS,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,,%,Crude Prevalence,27.4,27.4,,,25.3,29.7,Overall,Overall,,,,,POINT (-147.72205903599973 64.84507995700051),,02,NPAW,NPAW1_1,CRDPREV,OVERALL,OVR,,,,
2018,2018,AK,Alaska,BRFSS,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,,%,Crude Prevalence,26.9,26.9,,,16.7,40.3,Race/Ethnicity,Hispanic,,,,,POINT (-147.72205903599973 64.84507995700051),,02,NPAW,NPAW1_1,CRDPREV,RACE,HIS,,,,
2014,2014,AK,Alaska,BRFSS,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,,%,Age-adjusted Prevalence,41.9,41.9,,,33,51.5,Race/Ethnicity,"Multiracial, non-Hispanic",,,,,POINT (-147.72205903599973 64.84507995700051),,02,NPAW,NPAW1_1,AGEADJPREV,RACE,MRC,,,,
2016,2016,AK,Alaska,BRFSS,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,,%,Crude Prevalence,29.9,29.9,,,17.6,46.1,Race/Ethnicity,Hispanic,,,,,POINT (-147.72205903599973 64.84507995700051),,02,NPAW,NPAW1_1,CRDPREV,RACE,HIS,,,,
2017,2017,AK,Alaska,BRFSS,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,,%,Crude Prevalence,28.6,28.6,,,18.3,41.8,Race/Ethnicity,"Multiracial, non-Hispanic",,,,,POINT (-147.72205903599973 64.84507995700051),,02,NPAW,NPAW1_1,CRDPREV,RACE,MRC,,,,
2013,2013,AK,Alaska,BRFSS,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,,%,Age-adjusted Prevalence,29.8,29.8,,,27.1,32.6,Gender,Male,,,,,POINT (-147.72205903599973 64.84507995700051),,02,NPAW,NPAW1_1,AGEADJPREV,GENDER,GENM,,,,
2014,2014,AK,Alaska,BRFSS,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,,%,Crude Prevalence,29.6,29.6,,,20.9,40.1,Race/Ethnicity,Hispanic,,,,,POINT (-147.72205903599973 64.84507995700051),,02,NPAW,NPAW1_1,CRDPREV,RACE,HIS,,,,
2018,2018,AK,Alaska,BRFSS,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,,%,Age-adjusted Prevalence,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,"Black, non-Hispanic",,,,,POINT (-147.72205903599973 64.84507995700051),,02,NPAW,NPAW1_1,AGEADJPREV,RACE,BLK,,,,
2015,2015,AK,Alaska,BRFSS,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,,%,Age-adjusted Prevalence,29.9,29.9,,,26.8,33.3,Gender,Male,,,,,POINT (-147.72205903599973 64.84507995700051),,02,NPAW,NPAW1_1,AGEADJPREV,GENDER,GENM,,,,
2015,2015,AK,Alaska,BRFSS,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,,%,Age-adjusted Prevalence,30.6,30.6,,,27.1,34.4,Gender,Female,,,,,POINT (-147.72205903599973 64.84507995700051),,02,NPAW,NPAW1_1,AGEADJPREV,GENDER,GENF,,,,
2014,2014,AK,Alaska,BRFSS,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,,%,Age-adjusted Prevalence,29.8,29.8,,,27.9,31.7,Overall,Overall,,,,,POINT (-147.72205903599973 64.84507995700051),,02,NPAW,NPAW1_1,AGEADJPREV,OVERALL,OVR,,,,
2016,2016,AK,Alaska,BRFSS,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,,%,Crude Prevalence,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,"Black, non-Hispanic",,,,,POINT (-147.72205903599973 64.84507995700051),,02,NPAW,NPAW1_1,CRDPREV,RACE,BLK,,,,
2016,2016,AK,Alaska,BRFSS,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,,%,Age-adjusted Prevalence,34.1,34.1,,,23.3,46.9,Race/Ethnicity,"Multiracial, non-Hispanic",,,,,POINT (-147.72205903599973 64.84507995700051),,02,NPAW,NPAW1_1,AGEADJPREV,RACE,MRC,,,,
2013,2013,AK,Alaska,BRFSS,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,,%,Age-adjusted Prevalence,27.4,27.4,,,24.8,30.2,Gender,Female,,,,,POINT (-147.72205903599973 64.84507995700051),,02,NPAW,NPAW1_1,AGEADJPREV,GENDER,GENF,,,,
2017,2017,AK,Alaska,BRFSS,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,,%,Crude Prevalence,34.2,34.2,,,31.4,37.1,Overall,Overall,,,,,POINT (-147.72205903599973 64.84507995700051),,02,NPAW,NPAW1_1,CRDPREV,OVERALL,OVR,,,,
2014,2014,AK,Alaska,BRFSS,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,,%,Crude Prevalence,42.3,42.3,,,28.2,57.7,Race/Ethnicity,"Black, non-Hispanic",,,,,POINT (-147.72205903599973 64.84507995700051),,02,NPAW,NPAW1_1,CRDPREV,RACE,BLK,,,,
2018,2018,AK,Alaska,BRFSS,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,,%,Age-adjusted Prevalence,29.4,29.4,,,26.9,32,Overall,Overall,,,,,POINT (-147.72205903599973 64.84507995700051),,02,NPAW,NPAW1_1,AGEADJPREV,OVERALL,OVR,,,,
2016,2016,AK,Alaska,BRFSS,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,,%,Age-adjusted Prevalence,32.2,32.2,,,29.3,35.2,Overall,Overall,,,,,POINT (-147.72205903599973 64.84507995700051),,02,NPAW,NPAW1_1,AGEADJPREV,OVERALL,OVR,,,,
2015,2015,AK,Alaska,BRFSS,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,,%,Crude Prevalence,29.8,29.8,,,27.5,32.3,Overall,Overall,,,,,POINT (-147.72205903599973 64.84507995700051),,02,NPAW,NPAW1_1,CRDPREV,OVERALL,OVR,,,,
2013,2013,AK,Alaska,BRFSS,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,,%,Crude Prevalence,28.4,28.4,,,26.5,30.4,Overall,Overall,,,,,POINT (-147.72205903599973 64.84507995700051),,02,NPAW,NPAW1_1,CRDPREV,OVERALL,OVR,,,,
2017,2017,AK,Alaska,BRFSS,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,,%,Age-adjusted Prevalence,36.2,36.2,,,31.9,40.7,Gender,Female,,,,,POINT (-147.72205903599973 64.84507995700051),,02,NPAW,NPAW1_1,AGEADJPREV,GENDER,GENF,,,,
2011,2011,AK,Alaska,BRFSS,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,,%,Age-adjusted Prevalence,39.4,39.4,,,29.3,50.6,Race/Ethnicity,Hispanic,,,,,POINT (-147.72205903599973 64.84507995700051),,02,NPAW,NPAW1_1,AGEADJPREV,RACE,HIS,,,,
2012,2012,AK,Alaska,BRFSS,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,,%,Age-adjusted Prevalence,24.8,24.8,,,15.4,37.4,Race/Ethnicity,Hispanic,,,,,POINT (-147.72205903599973 64.84507995700051),,02,NPAW,NPAW1_1,AGEADJPREV,RACE,HIS,,,,
2012,2012,AK,Alaska,BRFSS,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,,%,Crude Prevalence,22.4,22.4,,,15,32,Race/Ethnicity,"Multiracial, non-Hispanic",,,,,POINT (-147.72205903599973 64.84507995700051),,02,NPAW,NPAW1_1,CRDPREV,RACE,MRC,,,,
2011,2011,AK,Alaska,BRFSS,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,,%,Crude Prevalence,23.3,23.3,,,16.1,32.4,Race/Ethnicity,"Multiracial, non-Hispanic",,,,,POINT (-147.72205903599973 64.84507995700051),,02,NPAW,NPAW1_1,CRDPREV,RACE,MRC,,,,
2018,2018,AK,Alaska,BRFSS,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,,%,Age-adjusted Prevalence,36.5,36.5,,,26.5,47.8,Race/Ethnicity,"Multiracial, non-Hispanic",,,,,POINT (-147.72205903599973 64.84507995700051),,02,NPAW,NPAW1_1,AGEADJPREV,RACE,MRC,,,,
2016,2016,AK,Alaska,BRFSS,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,,%,Crude Prevalence,29.2,29.2,,,18,43.6,Race/Ethnicity,"Multiracial, non-Hispanic",,,,,POINT (-147.72205903599973 64.84507995700051),,02,NPAW,NPAW1_1,CRDPREV,RACE,MRC,,,,
2015,2015,AK,Alaska,BRFSS,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,,%,Age-adjusted Prevalence,37.6,37.6,,,31.8,43.8,Race/Ethnicity,"Other, non-Hispanic",,,,,POINT (-147.72205903599973 64.84507995700051),,02,NPAW,NPAW1_1,AGEADJPREV,RACE,OTH,,,,
