analytics_matchkey,max_loan_amount,late_30_days,late_60_days,late_90_days
1346864,2500,0,0,0
1346865,1334,0,0,0
1346866,1572,0,0,0
1346867,1050,1,1,1
1346868,1250,0,0,0
1346869,1394,0,0,0
1346870,1000,0,0,0
1346871,1500,0,0,0
1346872,1000,0,0,0
1346873,2600,1,0,0
1346874,1370,0,0,0
1346875,1055,0,0,0
1346876,1530,1,0,0
1346877,2000,0,0,0
1346878,2110,0,0,0
1346879,1004,0,0,0
1346880,1370,0,0,0
1346881,1000,0,0,0
1346882,1500,0,0,0
1346883,2000,0,0,0
1346884,1500,0,0,0
1346885,1000,0,0,0
1346886,1055,0,0,0
1346887,1108,0,0,0
1346888,3100,0,0,0
1346889,4000,0,0,0
1346890,1000,1,0,0
1346891,3000,0,0,0
1346892,1500,1,0,0
1346893,1500,1,0,0
1346894,1690,0,0,0
1346895,2500,0,0,0
1346896,2292,0,0,0
1346897,2500,0,0,0
1346898,3000,1,0,0
1346899,2000,0,0,0
1346900,1500,0,0,0
1346901,1675,1,1,1
1346902,1000,0,0,0
1346903,1200,0,0,0
1346904,1000,1,1,1
1346905,2000,0,0,0
1346906,2000,0,0,0
1346907,1002,1,0,0
1346908,1370,0,0,0
1346909,1055,0,0,0
1346910,1200,0,0,0
1346911,2500,1,0,0
1346912,1800,0,0,0
1346913,2025,0,0,0
1346914,2000,0,0,0
1346915,1500,0,0,0
1346916,1800,0,0,0
1346917,1000,0,0,0
1346918,1100,0,0,0
1346919,1000,0,0,0
1346920,1334,0,0,0
1346921,2073,0,0,0
1346922,1650,0,0,0
1346923,1500,0,0,0
1346924,1650,0,0,0
1346925,1000,1,1,1
1346926,1000,0,0,0
1346927,1000,0,0,0
1346928,1200,1,1,1
1346929,1000,1,1,1
1346930,1055,1,1,1
1346931,1539,0,0,0
1346932,1610,0,0,0
1346933,2946,0,0,0
1346934,2000,1,1,1
1346935,1402,1,0,0
1346936,1060,0,0,0
1346937,1600,0,0,0
1346938,2000,0,0,0
1346939,1200,0,0,0
1346940,3272,0,0,0
1346941,1052,0,0,0
1346942,2525,0,0,0
1346943,1545,0,0,0
1346944,2100,0,0,0
1346945,2500,0,0,0
1346946,2000,0,0,0
1346947,1000,0,0,0
1346948,1000,0,0,0
1346949,2500,0,0,0
1346950,1500,0,0,0
1346951,1000,0,0,0
1346952,1984,0,0,0
1346953,1650,0,0,0
1346954,2000,0,0,0
1346955,2000,0,0,0
1346956,2110,0,0,0
1346957,1370,0,0,0
1346958,2398,0,0,0
1346959,1070,0,0,0
1346960,3075,0,0,0
1346961,2050,0,0,0
1346962,1200,0,0,0
1346963,1500,0,0,0
1346964,1150,0,0,0
1346965,1000,0,0,0
1346966,2600,0,0,0
1346967,3098,0,0,0
1346968,1550,0,0,0
1346969,3000,0,0,0
1346970,1200,1,1,1
1346971,1370,1,1,1
1346972,2600,1,0,0
1346973,1500,0,0,0
1346974,4000,0,0,0
1346975,1155,0,0,0
1346976,1200,0,0,0
1346977,1200,0,0,0
1346978,1000,0,0,0
1346979,1000,0,0,0
1346980,3294,0,0,0
1346981,1003,0,0,0
1346982,1270,0,0,0
1346983,1097,0,0,0
1346984,1510,0,0,0
1346985,2006,0,0,0
1346986,1500,0,0,0
1346987,1250,0,0,0
1346988,2358,0,0,0
1346989,1370,0,0,0
1346990,3075,0,0,0
1346991,3075,0,0,0
1346992,3075,0,0,0
1346993,1697,0,0,0
1346994,1722,0,0,0
1346995,1722,0,0,0
1346996,1400,0,0,0
1346997,1200,0,0,0
1346998,2544,0,0,0
1346999,2500,0,0,0
1347000,3000,0,0,0
1347001,1000,0,0,0
1347002,1500,0,0,0
1347003,1300,0,0,0
1347004,1049,0,0,0
1347005,2500,0,0,0
1347006,3510,0,0,0
1347007,1500,0,0,0
1347008,1505,1,1,1
1347009,2500,0,0,0
1347010,2500,0,0,0
1347011,3500,0,0,0
1347012,4000,0,0,0
1347013,1014,1,1,1
1347014,2600,1,1,1
1347015,1055,0,0,0
1347016,2000,0,0,0
1347017,1000,1,0,0
1347018,2000,0,0,0
1347019,1000,0,0,0
1347020,1514,0,0,0
1347021,1500,1,1,1
1347022,2000,0,0,0
1347023,1055,0,0,0
1347024,1055,0,0,0
1347025,1562,1,1,0
1347026,2600,0,0,0
1347027,1500,0,0,0
1347028,2025,0,0,0
1347029,1070,0,0,0
1347030,1000,1,1,1
1347031,1025,0,0,0
1347032,2500,1,1,1
1347033,3000,1,1,1
1347034,1200,0,0,0
1347035,1400,1,1,1
1347036,1441,0,0,0
1347037,1000,1,1,1
1347038,1436,0,0,0
1347039,2013,0,0,0
1347040,1600,0,0,0
1347041,1600,0,0,0
1347042,1025,0,0,0
1347043,2000,0,0,0
1347044,2575,0,0,0
1347045,1000,0,0,0
1347046,1525,0,0,0
1347047,1055,0,0,0
1347048,1000,0,0,0
1347049,2255,0,0,0
1347050,1920,0,0,0
1347051,1920,0,0,0
1347052,1400,0,0,0
1347053,3525,0,0,0
1347054,3525,0,0,0
1347055,1000,0,0,0
1347056,1000,0,0,0
1347057,1370,0,0,0
1347058,1370,0,0,0
1347059,1925,1,1,1
1347060,1080,1,1,0
1347061,1021,0,0,0
1347062,1500,0,0,0
1347063,1200,1,1,0
1347064,2386,0,0,0
1347065,1200,0,0,0
1347066,1250,0,0,0
1347067,1127,0,0,0
1347068,1400,0,0,0
1347069,1220,0,0,0
1347070,2000,0,0,0
1347071,1800,0,0,0
1347072,1011,0,0,0
1347073,2800,0,0,0
1347074,1400,1,1,1
1347075,1500,0,0,0
1347076,1500,0,0,0
1347077,1500,0,0,0
1347078,1500,0,0,0
1347079,1480,0,0,0
1347080,1000,1,0,0
1347081,1000,0,0,0
1347082,1000,1,0,0
1347083,1000,0,0,0
1347084,2500,1,1,1
1347085,1000,1,1,1
1347086,1525,1,0,0
1347087,1025,0,0,0
1347088,1200,0,0,0
1347089,1241,0,0,0
1347090,3203,0,0,0
1347091,1325,0,0,0
1347092,2381,0,0,0
1347093,2144,0,0,0
1347094,1170,0,0,0
1347095,3500,1,1,1
1347096,1500,0,0,0
1347097,1000,0,0,0
1347098,1826,0,0,0
1347099,1800,0,0,0
1347100,4000,0,0,0
1347101,2700,0,0,0
1347102,1700,1,1,1
1347103,1107,0,0,0
1347104,3075,0,0,0
1347105,1500,0,0,0
1347106,1000,1,1,1
1347107,1430,0,0,0
1347108,1500,0,0,0
1347109,1000,1,1,1
1347110,2600,1,1,1
1347111,1375,0,0,0
1347112,1272,0,0,0
1347113,3049,0,0,0
1347114,1000,0,0,0
1347115,3063,0,0,0
1347116,1320,0,0,0
1347117,2318,0,0,0
1347118,1690,0,0,0
1347119,1000,1,1,1
1347120,2032,0,0,0
1347121,1500,0,0,0
1347122,1200,0,0,0
1347123,1060,0,0,0
1347124,2576,0,0,0
1347125,1500,0,0,0
1347126,1225,1,1,1
1347127,1100,0,0,0
1347128,2015,0,0,0
1347129,1000,0,0,0
1347130,2500,0,0,0
1347131,1390,0,0,0
1347132,2875,0,0,0
1347133,1456,0,0,0
1347134,1370,0,0,0
1347135,1728,0,0,0
1347136,2083,0,0,0
1347137,1000,0,0,0
1347138,1525,0,0,0
1347139,3150,0,0,0
1347140,2500,0,0,0
1347141,1200,0,0,0
1347142,1100,0,0,0
1347143,2012,0,0,0
1347144,2500,0,0,0
1347145,1166,0,0,0
1347146,2150,0,0,0
1347147,1428,0,0,0
1347148,3189,0,0,0
1347149,1000,0,0,0
1347150,1400,0,0,0
1347151,3165,0,0,0
1347152,1728,0,0,0
1347153,1055,0,0,0
1347154,2000,1,0,0
1347155,1400,1,1,1
1347156,2000,0,0,0
1347157,1270,0,0,0
1347158,1428,0,0,0
1347159,1428,0,0,0
1347160,1430,1,1,1
1347161,2749,0,0,0
1347162,2100,0,0,0
1347163,1390,0,0,0
1347164,2000,0,0,0
1347165,1500,0,0,0
1347166,3000,0,0,0
1347167,1000,0,0,0
1347168,3001,0,0,0
1347169,3500,0,0,0
1347170,1500,0,0,0
1347171,1200,1,1,1
1347172,1428,0,0,0
1347173,1000,0,0,0
1347174,2500,0,0,0
1347175,2025,0,0,0
1347176,2500,1,1,1
1347177,2003,0,0,0
1347178,2083,0,0,0
1347179,3565,0,0,0
1347180,2083,0,0,0
1347181,2145,0,0,0
1347182,2145,0,0,0
1347183,3525,0,0,0
1347184,1500,1,1,1
1347185,2083,0,0,0
1347186,3100,0,0,0
1347187,1375,0,0,0
1347188,3131,0,0,0
1347189,3131,0,0,0
1347190,2550,1,1,0
1347191,3025,0,0,0
1347192,1040,0,0,0
1347193,2000,0,0,0
1347194,3423,1,0,0
1347195,1000,0,0,0
1347196,1500,0,0,0
1347197,1500,0,0,0
1347198,1100,0,0,0
1347199,2000,0,0,0
1347200,1500,0,0,0
1347201,1370,0,0,0
1347202,1500,1,0,0
1347203,3440,1,1,1
1347204,2000,0,0,0
1347205,3358,0,0,0
1347206,2000,0,0,0
1347207,1488,0,0,0
1347208,1200,0,0,0
1347209,3025,0,0,0
1347210,2000,0,0,0
1347211,1200,0,0,0
1347212,1325,0,0,0
1347213,3165,0,0,0
1347214,1000,0,0,0
1347215,1475,0,0,0
1347216,3500,0,0,0
1347217,3500,0,0,0
1347218,1000,1,0,0
1347219,1500,0,0,0
1347220,4000,0,0,0
1347221,1370,0,0,0
1347222,1055,0,0,0
1347223,2000,0,0,0
1347224,1000,0,0,0
1347225,2000,0,0,0
1347226,3025,0,0,0
1347227,3025,0,0,0
1347228,1225,1,1,0
1347229,2000,0,0,0
1347230,2600,0,0,0
1347231,1438,1,1,1
1347232,1282,0,0,0
1347233,2606,0,0,0
1347234,1000,0,0,0
1347235,2600,0,0,0
1347236,1500,1,1,1
1347237,1000,0,0,0
1347238,2505,0,0,0
1347239,1500,0,0,0
1347240,2600,0,0,0
1347241,1365,0,0,0
1347242,3000,0,0,0
1347243,3100,0,0,0
1347244,2989,0,0,0
1347245,1253,0,0,0
1347246,1370,1,1,1
1347247,1500,0,0,0
1347248,1134,0,0,0
1347249,1070,1,0,0
1347250,2000,0,0,0
1347251,1500,0,0,0
1347252,2335,0,0,0
1347253,1500,0,0,0
1347254,1000,0,0,0
1347255,1500,0,0,0
1347256,1060,0,0,0
1347257,2000,0,0,0
1347258,1590,0,0,0
1347259,1070,0,0,0
1347260,1284,0,0,0
1347261,3075,0,0,0
1347262,1250,1,0,0
1347263,1575,0,0,0
1347264,2300,0,0,0
1347265,1075,0,0,0
1347266,1505,0,0,0
1347267,2000,0,0,0
1347268,1291,0,0,0
1347269,1329,0,0,0
1347270,2461,0,0,0
1347271,2000,0,0,0
1347272,2479,0,0,0
1347273,1385,0,0,0
1347274,1549,0,0,0
1347275,1205,1,1,1
1347276,2600,0,0,0
1347277,1575,0,0,0
1347278,1865,0,0,0
1347279,3000,1,0,0
1347280,2150,0,0,0
1347281,1000,0,0,0
1347282,1000,0,0,0
1347283,3000,0,0,0
1347284,2000,0,0,0
1347285,2525,0,0,0
1347286,1500,0,0,0
1347287,1055,0,0,0
1347288,1370,0,0,0
1347289,1390,0,0,0
1347290,1000,1,0,0
1347291,1120,0,0,0
1347292,2075,0,0,0
1347293,1200,0,0,0
1347294,1156,0,0,0
1347295,1054,0,0,0
1347296,1400,1,1,1
1347297,1200,0,0,0
1347298,1000,0,0,0
1347299,1400,0,0,0
1347300,1241,0,0,0
1347301,1000,0,0,0
1347302,1588,0,0,0
1347303,1080,0,0,0
1347304,2000,1,1,1
1347305,1000,1,1,1
1347306,1500,0,0,0
1347307,1000,0,0,0
1347308,1241,0,0,0
1347309,1400,0,0,0
1347310,2275,0,0,0
1347311,1500,0,0,0
1347312,1200,0,0,0
1347313,1428,1,1,1
1347314,2000,0,0,0
1347315,1003,0,0,0
1347316,1070,1,1,0
1347317,1894,0,0,0
1347318,2500,0,0,0
1347319,2500,0,0,0
1347320,1800,0,0,0
1347321,1023,0,0,0
1347322,3075,0,0,0
1347323,1500,0,0,0
1347324,1200,0,0,0
1347325,1500,0,0,0
1347326,1055,0,0,0
1347327,3000,0,0,0
1347328,2000,0,0,0
1347329,1500,0,0,0
1347330,1503,0,0,0
1347331,1500,0,0,0
1347332,2000,0,0,0
1347333,2103,0,0,0
1347334,3000,0,0,0
1347335,1588,0,0,0
1347336,1200,0,0,0
1347337,1652,0,0,0
1347338,2163,0,0,0
1347339,1250,1,1,1
1347340,1000,0,0,0
1347341,1100,0,0,0
1347342,1370,0,0,0
1347343,1324,0,0,0
1347344,1734,0,0,0
1347345,3100,0,0,0
1347346,2500,0,0,0
1347347,1282,1,0,0
1347348,1500,0,0,0
1347349,1000,0,0,0
1347350,1650,0,0,0
1347351,1000,0,0,0
1347352,1500,0,0,0
1347353,1100,0,0,0
1347354,1680,0,0,0
1347355,1500,0,0,0
1347356,1964,0,0,0
1347357,2000,0,0,0
1347358,2339,1,1,1
1347359,1650,1,1,1
1347360,2097,0,0,0
1347361,1000,1,1,1
1347362,1400,0,0,0
1347363,1006,0,0,0
1347364,1500,0,0,0
1347365,1006,0,0,0
1347366,2500,0,0,0
1347367,1156,1,1,1
1347368,2136,0,0,0
1347369,2790,0,0,0
1347370,1605,0,0,0
1347371,2500,0,0,0
1347372,1241,0,0,0
1347373,1200,0,0,0
1347374,2300,1,1,1
1347375,2596,0,0,0
1347376,1525,0,0,0
1347377,1000,0,0,0
1347378,1499,0,0,0
1347379,1350,0,0,0
1347380,1000,0,0,0
1347381,2000,0,0,0
1347382,1770,0,0,0
1347383,3000,0,0,0
1347384,2767,0,0,0
1347385,1084,0,0,0
1347386,1225,0,0,0
1347387,1500,0,0,0
1347388,1214,0,0,0
1347389,1214,0,0,0
1347390,3000,0,0,0
1347391,2150,0,0,0
1347392,1428,0,0,0
1347393,3667,0,0,0
1347394,2000,0,0,0
1347395,1362,0,0,0
1347396,1100,0,0,0
1347397,1000,1,1,1
1347398,1000,0,0,0
1347399,1794,0,0,0
1347400,1000,1,1,1
1347401,1500,1,1,1
1347402,1105,0,0,0
1347403,1525,0,0,0
1347404,1500,1,0,0
1347405,4000,0,0,0
1347406,3200,1,1,1
1347407,1390,0,0,0
1347408,2000,0,0,0
1347409,1060,0,0,0
1347410,1000,0,0,0
1347411,1370,1,0,0
1347412,1241,0,0,0
1347413,1061,0,0,0
1347414,2003,0,0,0
1347415,2600,0,0,0
1347416,1500,1,1,1
1347417,3650,0,0,0
1347418,1500,1,1,1
1347419,1485,0,0,0
1347420,1070,0,0,0
1347421,2500,0,0,0
1347422,1500,0,0,0
1347423,3075,0,0,0
1347424,3500,0,0,0
1347425,1754,0,0,0
1347426,1100,0,0,0
1347427,1660,0,0,0
1347428,1728,0,0,0
1347429,1535,0,0,0
1347430,2114,1,1,1
1347431,3040,0,0,0
1347432,1950,0,0,0
1347433,2262,1,0,0
1347434,3905,0,0,0
1347435,3905,0,0,0
1347436,1370,0,0,0
1347437,1575,0,0,0
1347438,3000,0,0,0
1347439,1050,0,0,0
1347440,1200,0,0,0
1347441,1570,0,0,0
1347442,1500,1,0,0
1347443,1200,0,0,0
1347444,1530,0,0,0
1347445,2000,0,0,0
1347446,2400,1,1,1
1347447,1000,0,0,0
1347448,3000,0,0,0
1347449,1006,0,0,0
1347450,1428,0,0,0
1347451,1500,0,0,0
1347452,1000,1,0,0
1347453,3210,0,0,0
1347454,1595,0,0,0
1347455,1525,0,0,0
1347456,4000,0,0,0
1347457,2000,0,0,0
1347458,2000,0,0,0
1347459,2090,0,0,0
1347460,1325,0,0,0
1347461,1625,0,0,0
1347462,1625,0,0,0
1347463,1325,0,0,0
1347464,1115,0,0,0
1347465,3172,0,0,0
1347466,1650,0,0,0
1347467,1391,1,1,1
1347468,1391,1,1,1
1347469,1065,0,0,0
1347470,1050,0,0,0
1347471,2800,0,0,0
1347472,2083,1,1,1
1347473,1050,0,0,0
1347474,1500,0,0,0
1347475,2902,0,0,0
1347476,1500,0,0,0
1347477,2000,1,1,1
1347478,1428,0,0,0
1347479,1006,0,0,0
1347480,1141,1,1,1
1347481,1200,0,0,0
1347482,1200,0,0,0
1347483,1500,0,0,0
1347484,1232,0,0,0
1347485,2168,0,0,0
1347486,1440,0,0,0
1347487,1000,0,0,0
1347488,4000,0,0,0
1347489,4000,0,0,0
1347490,1876,0,0,0
1347491,2000,0,0,0
1347492,2000,0,0,0
1347493,1225,0,0,0
1347494,1370,0,0,0
1347495,2045,0,0,0
1347496,2095,0,0,0
1347497,4000,0,0,0
1347498,3012,0,0,0
1347499,1382,0,0,0
1347500,1125,0,0,0
1347501,1100,0,0,0
1347502,1975,0,0,0
1347503,1370,0,0,0
1347504,1200,0,0,0
1347505,1400,1,1,1
1347506,1525,0,0,0
1347507,3000,0,0,0
1347508,1875,0,0,0
1347509,1200,0,0,0
1347510,1200,0,0,0
1347511,1070,0,0,0
1347512,1156,0,0,0
1347513,1000,0,0,0
1347514,1000,0,0,0
1347515,1200,0,0,0
1347516,2400,0,0,0
1347517,3150,0,0,0
1347518,3075,0,0,0
1347519,1000,0,0,0
1347520,1228,0,0,0
1347521,2400,0,0,0
1347522,3268,0,0,0
1347523,3269,0,0,0
1347524,1106,0,0,0
1347525,1000,0,0,0
1347526,1050,0,0,0
1347527,2075,0,0,0
1347528,2161,0,0,0
1347529,1001,0,0,0
1347530,2620,0,0,0
1347531,1370,0,0,0
1347532,1728,0,0,0
1347533,1000,0,0,0
1347534,2500,0,0,0
1347535,1691,0,0,0
1347536,1500,0,0,0
1347537,2500,0,0,0
1347538,2500,0,0,0
1347539,2110,0,0,0
1347540,1000,0,0,0
1347541,1029,0,0,0
1347542,1050,0,0,0
1347543,1250,1,1,1
1347544,1080,0,0,0
1347545,3500,0,0,0
1347546,1200,0,0,0
1347547,1200,0,0,0
1347548,1200,0,0,0
1347549,1200,0,0,0
1347550,1200,0,0,0
1347551,1000,0,0,0
1347552,1200,0,0,0
1347553,2600,0,0,0
1347554,1428,0,0,0
1347555,1650,1,1,1
1347556,1800,0,0,0
1347557,3100,0,0,0
1347558,3091,0,0,0
1347559,1508,0,0,0
1347560,1000,0,0,0
1347561,2562,0,0,0
1347562,1270,0,0,0
1347563,1500,0,0,0
1347564,1375,0,0,0
1347565,1329,0,0,0
1347566,1197,0,0,0
1347567,1680,0,0,0
1347568,1500,0,0,0
1347569,1002,0,0,0
1347570,1700,0,0,0
1347571,1112,0,0,0
1347572,1112,0,0,0
1347573,1500,0,0,0
1347574,1025,0,0,0
1347575,2100,0,0,0
1347576,1000,0,0,0
1347577,1500,0,0,0
1347578,1241,0,0,0
1347579,1370,0,0,0
1347580,1000,0,0,0
1347581,1000,0,0,0
1347582,1250,0,0,0
1347583,2600,0,0,0
1347584,1080,0,0,0
1347585,1575,0,0,0
1347586,1370,0,0,0
1347587,1543,0,0,0
1347588,1500,0,0,0
1347589,2000,0,0,0
1347590,1400,0,0,0
1347591,1500,0,0,0
1347592,2000,0,0,0
1347593,1370,1,1,1
1347594,1200,0,0,0
1347595,1006,0,0,0
1347596,1000,0,0,0
1347597,1500,0,0,0
1347598,1000,1,1,1
1347599,1050,1,1,1
1347600,2626,1,1,1
1347601,1000,0,0,0
1347602,1025,0,0,0
1347603,1370,0,0,0
1347604,1500,0,0,0
1347605,2000,0,0,0
1347606,2600,0,0,0
1347607,1550,0,0,0
1347608,2219,0,0,0
1347609,1370,0,0,0
1347610,1025,1,1,1
1347611,1425,1,1,1
1347612,2993,0,0,0
1347613,2993,0,0,0
1347614,1200,1,1,1
1347615,1500,0,0,0
1347616,1250,0,0,0
1347617,1675,0,0,0
1347618,1500,0,0,0
1347619,1525,0,0,0
1347620,1550,1,1,1
1347621,1886,0,0,0
1347622,3000,0,0,0
1347623,2000,0,0,0
1347624,1250,0,0,0
1347625,2600,0,0,0
1347626,1370,0,0,0
1347627,1070,0,0,0
1347628,1000,0,0,0
1347629,1000,0,0,0
1347630,1721,0,0,0
1347631,1721,0,0,0
1347632,1480,1,1,1
1347633,2430,0,0,0
1347634,2000,0,0,0
1347635,1025,0,0,0
1347636,1250,0,0,0
1347637,3025,0,0,0
1347638,3000,0,0,0
1347639,3075,1,1,1
1347640,1150,0,0,0
1347641,1365,0,0,0
1347642,1250,0,0,0
1347643,1010,0,0,0
1347644,2530,0,0,0
1347645,1487,0,0,0
1347646,1125,0,0,0
1347647,1055,0,0,0
1347648,3600,1,1,1
1347649,1000,0,0,0
1347650,1000,0,0,0
1347651,1000,0,0,0
1347652,1200,0,0,0
1347653,1546,1,1,1
1347654,2600,0,0,0
1347655,1200,1,1,1
1347656,3500,0,0,0
1347657,1500,0,0,0
1347658,1586,0,0,0
1347659,1200,0,0,0
1347660,1300,0,0,0
1347661,2200,0,0,0
1347662,2800,0,0,0
1347663,1500,0,0,0
1347664,1000,0,0,0
1347665,1000,0,0,0
1347666,1000,0,0,0
1347667,1000,0,0,0
1347668,2000,0,0,0
1347669,1200,0,0,0
1347670,1500,0,0,0
1347671,1500,0,0,0
1347672,1675,0,0,0
1347673,1375,0,0,0
1347674,1370,0,0,0
1347675,1974,1,1,1
1347676,2000,0,0,0
1347677,1500,0,0,0
1347678,1500,0,0,0
1347679,1503,0,0,0
1347680,3070,1,1,1
1347681,1000,1,1,1
1347682,2100,0,0,0
1347683,1250,0,0,0
1347684,1050,0,0,0
1347685,1156,1,1,0
1347686,1551,0,0,0
1347687,4000,0,0,0
1347688,1020,0,0,0
1347689,1200,0,0,0
1347690,1000,1,0,0
1347691,1000,1,0,0
1347692,1000,0,0,0
1347693,1400,1,1,1
1347694,1994,0,0,0
1347695,1000,0,0,0
1347696,1078,0,0,0
1347697,1300,1,1,1
1347698,1235,0,0,0
1347699,2500,0,0,0
1347700,2500,0,0,0
1347701,2083,0,0,0
1347702,1000,0,0,0
1347703,1500,0,0,0
1347704,1375,1,1,0
1347705,1428,0,0,0
1347706,1530,0,0,0
1347707,1000,0,0,0
1347708,1060,0,0,0
1347709,1000,0,0,0
1347710,1350,0,0,0
1347711,1710,0,0,0
1347712,1575,0,0,0
1347713,1000,0,0,0
1347714,1000,0,0,0
1347715,1500,0,0,0
1347716,1974,0,0,0
1347717,2525,0,0,0
1347718,2000,0,0,0
1347719,2000,0,0,0
1347720,1000,0,0,0
1347721,2000,0,0,0
1347722,2847,0,0,0
1347723,1000,1,1,1
1347724,1505,1,1,1
1347725,1631,0,0,0
1347726,1631,0,0,0
1347727,2062,0,0,0
1347728,2000,0,0,0
1347729,1500,0,0,0
1347730,2500,0,0,0
1347731,1506,1,0,0
1347732,1000,0,0,0
1347733,4000,0,0,0
1347734,1241,0,0,0
1347735,2024,0,0,0
1347736,2051,0,0,0
1347737,2604,1,1,1
1347738,2681,0,0,0
1347739,2185,0,0,0
1347740,2600,0,0,0
1347741,2000,0,0,0
1347742,1525,0,0,0
1347743,2075,0,0,0
1347744,2600,0,0,0
1347745,3029,0,0,0
1347746,1504,0,0,0
1347747,1077,0,0,0
1347748,1500,0,0,0
1347749,1525,0,0,0
1347750,1370,0,0,0
1347751,1200,0,0,0
1347752,1000,1,0,0
1347753,1400,0,0,0
1347754,3000,1,1,1
1347755,2010,0,0,0
1347756,3620,0,0,0
1347757,2699,0,0,0
1347758,1000,0,0,0
1347759,1050,0,0,0
1347760,1500,0,0,0
1347761,3000,0,0,0
1347762,1105,1,1,1
1347763,1680,0,0,0
1347764,3000,0,0,0
1347765,3500,0,0,0
1347766,3000,0,0,0
1347767,3632,0,0,0
1347768,3000,0,0,0
1347769,1000,0,0,0
1347770,1752,1,1,1
1347771,1400,0,0,0
1347772,1241,0,0,0
1347773,1000,0,0,0
1347774,1055,0,0,0
1347775,1586,0,0,0
1347776,1500,0,0,0
1347777,1624,0,0,0
1347778,3000,0,0,0
1347779,1000,0,0,0
1347780,2000,0,0,0
1347781,1000,1,0,0
1347782,3500,0,0,0
1347783,2525,0,0,0
1347784,1025,0,0,0
1347785,3478,0,0,0
1347786,1150,0,0,0
1347787,1000,1,1,1
1347788,1080,0,0,0
1347789,1500,0,0,0
1347790,1000,0,0,0
1347791,3000,1,1,1
1347792,2500,0,0,0
1347793,1000,1,0,0
1347794,1200,1,0,0
1347795,1500,0,0,0
1347796,3165,0,0,0
1347797,1156,0,0,0
1347798,2000,0,0,0
1347799,1003,0,0,0
1347800,2600,0,0,0
1347801,1254,0,0,0
1347802,1000,0,0,0
1347803,1500,0,0,0
1347804,1500,0,0,0
1347805,1200,0,0,0
1347806,1000,0,0,0
1347807,3000,0,0,0
1347808,1500,0,0,0
1347809,1200,0,0,0
1347810,2576,1,1,1
1347811,2196,0,0,0
1347812,1000,0,0,0
1347813,1575,1,1,1
1347814,1995,0,0,0
1347815,3000,1,1,1
