analytics_matchkey,industry_code_kind_of_business,reporting_subscriber_code,public_record_type_code,effective_date_date_verified,filed_date,paid_date,amount,public_record_source_type_code,equal_credit_opportunity_act_code,legislative_prohibited_code,plaintiff_name,attorney_name,docket_number
1346887,ZP,418,7X,20120328,20100625,20110317,,FE,I,1,,,
1346888,ZP,185,SL,20110119,20101213,,1549,RD,I,1,,,
1346888,ZP,185,SL,20100312,20100212,,1441,RD,I,1,,,
1346888,ZP,185,SL,20121218,20121115,,462,RD,I,1,,,
1346890,ZP,87,CJ,20121227,20120518,,666,CI,I,1,,,
1346894,ZP,35K,3D,20130416,20130322,20130415,,FE,I,1,,,
1346894,ZP,35K,3D,20121026,20120928,20121025,,FE,I,1,,,
1346894,ZP,25N,RL,20151020,20141105,20150924,73769,RD,C,1,,,
1346895,ZP,324,PL,20160817,20110709,20160803,3012,RD,C,1,,,
1346895,ZP,308,PC,20131115,20121109,20130930,1499,CI,I,1,,,
1346895,ZP,12,PL,20160817,20140814,20140914,1984,RD,I,1,,,
1346897,ZP,73,RL,20131010,20090316,20130928,2835,RD,C,1,,,
1346897,ZP,73,RL,20120421,20090316,20120314,2780,RD,C,1,,,
1346897,ZP,73,RL,20120420,20090316,20120314,4858,RD,C,1,,,
1346897,ZP,73,RL,20120420,20090316,20120314,2941,RD,C,1,,,
1346897,ZP,73,RL,20130808,20090316,20130719,3279,RD,C,1,,,
1346897,ZP,73,RL,20131003,20090316,20130928,1581,RD,C,1,,,
1346897,ZP,73,SL,20160601,20160526,,1817,RD,I,1,,,
1346901,ZP,126,CJ,20160820,20160705,,1000,MU,I,1,,,
1346910,ZP,325,PC,20160105,20140224,20151113,559,CI,I,1,,,
1346911,Z,459,CJ,20110209,20100526,,767,CI,C,2,,,
1346920,ZP,115,RL,20110601,20100721,20110525,509,RD,I,1,,,
1346920,ZP,50,CJ,20141021,20140926,,3100,CI,I,1,,,
1346925,ZP,592,7X,20140806,20140410,20140805,,FE,I,1,,,
1346925,ZP,483,CB,20120707,20120218,20140410,4777,CI,I,1,,,
1346934,ZP,16E,7X,20120816,20110429,20111012,,FE,I,1,,,
1346941,ZP,74,CJ,20120501,20120315,,376,CI,I,1,,,
1346941,ZP,74,PC,20110129,20100722,20101202,699,CI,I,1,,,
1346970,ZP,107,7X,20101204,20100827,20101203,,FE,I,1,,,
1346970,ZP,285,CB,20091112,20091106,20100827,1163,CI,I,1,,,
1346977,ZP,334,FT,20120626,20120619,,21664,RD,I,1,,,
1346978,ZP,96,CJ,20111202,20111103,,2450,CI,I,1,,,
1346981,ZP,304,7X,20121219,20120913,20121218,,FE,I,1,,,
1346983,ZP,376,7X,20080816,20080508,20080815,,FE,C,1,,,
1346985,ZP,16G,CJ,20120413,20120323,,2111,CI,I,1,,,
1347002,ZP,15,CJ,20151212,20150821,,1104,CI,I,1,,,
1347004,ZP,39,CJ,20100806,20100702,,1290,CI,C,2,,,
1347004,Z,222,SL,20141209,20141205,,176,RD,I,1,,,
1347007,ZP,316,SL,20140905,20140903,,12897,RD,I,1,,,
1347007,ZP,324,FT,20131102,20131023,,13969,RD,I,1,,,
1347007,ZP,311,CJ,20120717,20120711,,750,CI,I,1,,,
1347007,ZP,316,PL,20100311,20091017,20100308,1340,RD,I,1,,,
1347007,ZP,311,CJ,20150905,20150903,,5876,CI,I,1,,,
1347012,ZP,35Q,7X,20100803,20100415,20100802,,FE,I,1,,,
1347013,ZP,2,PC,20150812,20130724,20150713,1150,CI,I,1,,,
1347017,ZP,15T,7F,20120201,20120131,,,FE,C,1,,,
1347017,ZP,110,PC,20151218,20101216,20151202,1683,CI,C,1,,,
1347019,ZP,29L,CJ,20150130,20150123,,4413,CI,I,1,,,
1347021,ZP,157,CJ,20160805,20160602,,1187,CI,I,1,,,
1347021,ZP,157,CJ,20160426,20160114,,717,CI,I,1,,,
1347021,ZP,157,CJ,20160426,20151112,,1377,CI,I,1,,,
1347021,ZP,419,7X,20131023,20130718,20131022,,FE,I,1,,,
1347021,ZP,157,CB,20120817,20120720,20130718,679,CI,I,2,,,
1347029,ZP,31V,CJ,20100504,20091222,,4564,CI,I,1,,,
1347034,ZP,280,7X,20090818,20081015,20090817,,FE,C,1,,,
1347035,ZP,277,3D,20121205,20110621,20121204,,FE,C,1,,,
1347037,ZP,513,CJ,20130807,20130514,,1044,CI,C,1,,,
1347037,ZP,329,SL,20151118,20151109,,290,RD,I,1,,,
1347044,ZP,124,CJ,20160218,20160215,,225,CI,I,1,,,
1347058,ZP,467,CJ,20130214,20120514,,6361,CI,I,1,,,
1347060,ZP,133,CJ,20110726,20091109,,2993,CI,C,1,,,
1347062,ZP,401,FT,20100602,20100309,,18644,RD,C,1,,,
1347063,ZP,436,PF,20110907,20080619,20110215,12560,RD,I,1,,,
1347065,ZP,24,PC,20141212,20111201,20120101,2508,CI,I,1,,,
1347070,ZP,131,SL,20100622,20100521,,1208,RD,I,1,,,
1347070,ZP,203,7D,20160713,20120430,20160708,,FE,I,1,,,
1347076,ZP,3,3X,20150625,20100414,20150624,,FE,C,1,,,
1347080,ZP,418,7X,20090211,20081030,20090210,,FE,C,1,,,
1347081,ZP,418,7X,20090211,20081030,20090210,,FE,C,1,,,
1347082,ZP,418,7X,20090211,20081030,20090210,,FE,C,1,,,
1347084,ZP,23,CJ,20120316,20120307,,480,CI,I,1,,,
1347084,ZP,1,7X,20080419,20080110,20080417,,FE,C,1,,,
1347084,ZP,23,CJ,20130207,20130130,,2243,CI,C,2,,,
1347085,ZP,465,PC,20160406,20150728,20160328,1580,CI,I,1,,,
1347085,ZP,454,7X,20070428,20061229,20070426,,FE,C,1,,,
1347085,ZP,465,CJ,20140715,20140626,,1076,CI,I,1,,,
1347086,ZP,415,7X,20070614,20070207,20070613,,FE,C,1,,,
1347087,ZP,25,PC,20150930,20130227,20131008,2727,CI,I,2,,,
1347087,ZP,27,CJ,20160304,20130415,,140,CI,I,2,,,
1347087,ZP,25,CJ,20150917,20131011,,1405,CI,I,2,,,
1347087,ZP,25,PC,20121128,20111116,20120504,1107,CI,I,1,,,
1347087,ZP,25,PC,20111116,20100108,20110708,6706,CI,I,1,,,
1347087,ZP,415,7X,20070614,20070207,20070613,,FE,C,1,,,
1347091,ZP,1,7X,20081104,20080710,20081103,,FE,C,1,,,
1347093,Z,27S,PC,20111018,20100806,20110912,577,CI,I,1,,,
1347094,ZP,82,7X,20080821,20080424,20080820,,FE,I,1,,,
1347104,ZP,26P,7X,20151103,20150721,20151102,,FE,C,1,,,
1347108,ZP,970,7X,20090821,20090512,20090820,,FE,C,1,,,
1347113,ZP,25F,PC,20151111,20150609,20150813,1657,CI,I,1,,,
1347113,ZP,974,SL,20160405,20160307,,1204,RD,I,1,,,
1347116,ZP,112,CJ,20160122,20150902,,819,CI,I,1,,,
1347117,ZP,325,CJ,20130418,20130222,,925,CI,I,1,,,
1347117,ZP,203,3D,20150514,20140226,20150513,,FE,I,1,,,
1347125,ZP,419,7X,20100818,20100430,20100817,,FE,I,1,,,
1347125,ZP,1,CB,20101229,20100407,20100430,794,CI,I,1,,,
1347126,ZP,317,PL,20140117,20130128,20140108,291,RD,I,1,,,
1347128,ZP,204,7X,20090324,20081216,20090323,,FE,C,1,,,
1347134,ZP,20B,CJ,20130416,20120816,,2657,CI,I,1,,,
1347135,ZP,20B,CJ,20130416,20120816,,2657,CI,I,1,,,
1347164,ZP,372,7X,20071215,20070826,20071213,,FE,I,1,,,
1347179,ZP,411,7X,20110825,20110510,20110816,,FE,I,1,,,
1347179,ZP,110,CB,20110308,20110222,20110510,2975,CI,I,1,,,
1347179,ZP,110,CJ,20120710,20120612,,2110,CI,I,1,,,
1347186,ZP,53,7X,20111201,20110831,20111130,,FE,I,1,,,
1347198,ZP,474,7X,20070918,20070521,20070917,,FE,I,1,,,
1347199,ZP,1,7X,20110901,20110524,20110831,,FE,C,1,,,
1347209,ZP,186,7X,20090930,20090615,20090929,,FE,C,1,,,
1347210,ZP,324,SL,20101021,20101016,,2466,RD,I,1,,,
1347210,ZP,314,FT,20091204,20091202,,5749,RD,I,1,,,
1347213,ZP,372,7X,20120608,20120308,20120606,,FE,I,1,,,
1347231,ZP,08S,7X,20070510,20070125,20070508,,FE,I,1,,,
1347235,ZP,26P,7X,20140819,20140509,20140818,,FE,I,1,,,
1347242,ZP,352,PL,20150505,20120724,20120824,187,RD,I,1,,,
1347244,ZP,111,PC,20151222,20140924,20150908,780,CI,C,2,,,
1347253,ZP,126,CJ,20130115,20120815,,5000,CI,I,1,,,
1347258,ZP,74,CJ,20131109,20131030,,1689,CI,I,1,,,
1347259,Z,113,CJ,20131217,20131209,,2210,CI,I,2,,,
1347270,ZP,82,PC,20130822,20130315,20130715,463,CI,I,1,,,
1347271,ZP,325,CB,20131128,20131008,20140630,775,CI,I,1,,,
1347271,ZP,325,CB,20131219,20131114,20140630,1573,CI,I,1,,,
1347271,ZP,325,CB,20140213,20140107,20140630,6281,CI,I,1,,,
1347271,ZP,203,7X,20141029,20140630,20141028,,FE,I,1,,,
1347271,ZP,325,CB,20130516,20130417,20140630,21447,CI,I,1,,,
1347277,ZP,84,7X,20140115,20131004,20140114,,FE,C,1,,,
1347277,ZP,77,RL,20130912,20070119,20130227,189,RD,I,1,,,
1347277,ZP,473,CB,20130104,20121220,20131004,25039,CI,I,1,,,
1347284,ZP,163,PC,20111215,20110913,20111202,4530,CI,C,1,,,
1347284,ZP,163,CJ,20130502,20130418,,5716,CI,I,1,,,
1347289,Z,407,CJ,20140723,20130604,,7500,CI,I,1,,,
1347293,ZP,265,CB,20110226,20110222,20110715,1572,CI,I,1,,,
1347293,ZP,265,CJ,20150630,20150626,,4654,CI,I,1,,,
1347293,ZP,108,7X,20111105,20110715,20111104,,FE,I,1,,,
1347300,ZP,18U,CJ,20160120,20150803,,1428,CI,I,1,,,
1347301,ZP,18U,CJ,20160120,20150803,,1428,CI,I,1,,,
1347312,ZP,306,7X,20130322,20121214,20130321,,FE,I,1,,,
1347312,ZP,181,CB,20121117,20121017,20121214,6739,CI,I,1,,,
1347313,ZP,15P,7X,20080716,20080408,20080714,,FE,I,1,,,
1347316,ZP,26P,3F,20110201,20110131,,,FE,I,1,,,
1347324,ZP,313,7X,20110730,20110421,20110729,,FE,C,1,,,
1347324,ZP,188,SL,20100818,20100715,,484,RD,C,1,,,
1347331,ZP,3,7X,20121212,20120824,20121211,,FE,I,1,,,
1347331,Z,498,CB,20120515,20120424,20120824,18285,CI,I,1,,,
1347331,Z,499,CB,20111220,20111118,20120824,1282,CI,I,1,,,
1347331,Z,498,PL,20120424,20110906,20120423,1226,RD,C,1,,,
1347331,Z,498,PL,20110330,20110124,20110328,184,RD,C,1,,,
1347331,Z,498,PL,20110330,20110124,20110328,2489,RD,C,1,,,
1347340,ZP,970,7X,20130614,20130303,20130612,,FE,I,1,,,
1347343,ZP,203,7X,20140318,20131118,20140317,,FE,I,1,,,
1347349,ZP,2,7X,20110726,20110324,20110725,,FE,I,1,,,
1347352,ZP,26P,7X,20150706,20120330,20120716,,BK,I,1,,,
1347358,ZP,176,CJ,20160802,20160726,,2473,CI,I,1,,,
1347358,ZP,176,CJ,20141028,20141024,,1035,CI,I,1,,,
1347361,ZP,568,CJ,20130904,20130814,,942,CI,I,1,,,
1347361,ZP,542,PL,20131231,20130226,20130327,92,RD,C,1,,,
1347361,ZP,568,CJ,20111130,20110913,,4204,CI,I,1,,,
1347364,ZP,206,CJ,20151119,20141008,,2279,CI,I,1,,,
1347375,ZP,208,RL,20150410,20150226,20150401,317,RD,I,1,,,
1347375,ZP,208,RL,20140730,20140305,20140715,679,RD,C,1,,,
1347375,ZP,208,RL,20140514,20140305,20140505,324,RD,I,1,,,
1347375,ZP,208,RL,20130827,20130322,20130820,669,RD,C,1,,,
1347375,ZP,208,RL,20120509,20120227,20120319,475,RD,I,1,,,
1347375,ZP,208,RL,20120731,20120227,20120713,795,RD,C,1,,,
1347375,ZP,208,RL,20100818,20100224,20100810,898,RD,C,1,,,
1347375,ZP,208,RL,20110709,20100224,20110324,516,RD,I,1,,,
1347375,ZP,208,RL,20100210,20090224,20100128,732,RD,C,1,,,
1347375,ZP,208,RL,20100210,20090224,20100128,549,RD,I,1,,,
1347375,ZP,208,RL,20150410,20150226,20150401,632,RD,C,1,,,
1347376,ZP,419,7X,20080918,20080508,20080917,,FE,I,1,,,
1347377,ZP,1,7X,20071130,20070820,20071129,,FE,C,1,,,
1347378,ZP,53,3X,20151216,20091120,20151215,,FE,C,1,,,
1347379,ZP,53,3X,20151216,20091120,20151215,,FE,C,1,,,
1347380,ZP,53,3X,20151216,20091120,20151215,,FE,C,1,,,
1347381,ZP,419,7X,20130104,20121001,20130103,,FE,C,1,,,
1347384,ZP,00P,SL,20141125,20140926,,649,RD,C,1,,,
1347390,ZP,195,RL,20130622,20110204,20130423,802,RD,C,1,,,
1347390,ZP,195,RL,20130618,20091228,20130320,539,RD,C,1,,,
1347400,ZP,1,7X,20151110,20150731,20151109,,FE,I,1,,,
1347401,ZP,1,7X,20151110,20150731,20151109,,FE,I,1,,,
1347405,ZP,203,7X,20080812,20080428,20080804,,FE,I,1,,,
1347416,ZP,157,CJ,20141015,20140917,,841,CI,I,2,,,
1347418,ZP,419,7X,20090528,20090212,20090527,,FE,I,1,,,
1347420,ZP,86,CJ,20100615,20100603,,2570,CI,I,1,,,
1347426,ZP,521,SL,20120619,20120424,,778,RD,I,1,,,
1347426,ZP,521,SL,20130108,20121115,,756,RD,I,1,,,
1347444,ZP,108,PL,20121127,20120724,20121025,317,RD,C,1,,,
1347447,ZP,01Z,3D,20160729,20110729,20160728,,FE,I,1,,,
1347451,ZP,324,PL,20120421,20111126,20120419,199,RD,I,1,,,
1347452,ZP,418,7X,20141223,20140915,20141222,,FE,I,1,,,
1347469,ZP,21H,SL,20131221,20130306,,2746,RD,I,1,,,
1347469,Z,13P,PC,20101207,20100409,20101102,1895,CI,C,1,,,
1347469,ZP,21H,RL,20130904,20130306,20130507,2746,RD,I,1,,,
1347474,ZP,408,CJ,20150124,20140507,,2024,CI,I,1,,,
1347477,ZP,431,CJ,20101005,20100818,,413,CI,I,2,,,
1347479,ZP,56Z,PF,20150901,20100728,20150407,4569,RD,I,1,,,
1347481,ZP,262,CJ,20120419,20120224,,1187,CI,I,1,,,
1347481,ZP,262,CJ,20120921,20120906,,600,CI,I,1,,,
1347484,ZP,843,PC,20120320,20100513,20110511,210,CI,I,1,,,
1347491,ZP,26P,7X,20110806,20110328,20110804,,FE,C,1,,,
1347492,ZP,26P,7X,20110806,20110328,20110804,,FE,C,1,,,
1347493,Z,191,CJ,20140818,20121217,,3000,SC,I,1,,,
1347493,Z,191,CJ,20140818,20100729,,4113,MU,I,1,,,
1347501,ZP,92,SL,20160130,20160114,,527,RD,C,1,,,
1347501,Z,94,CJ,20140429,20140416,,4493,CI,I,1,,,
1347507,ZP,22N,CJ,20100310,20100121,,8041,MU,C,1,,,
1347508,ZP,22N,CJ,20100310,20100121,,8041,MU,C,1,,,
1347509,ZP,47,7X,20140517,20140115,20140516,,FE,C,1,,,
1347510,ZP,47,7X,20140517,20140115,20140516,,FE,C,1,,,
1347519,Z,156,CJ,20140829,20140728,,608,CI,I,1,,,
1347522,ZP,1,PC,20160715,20130918,20160322,1910,CI,I,2,,,
1347522,ZP,1,PC,20140806,20130207,20140521,1677,CI,I,2,,,
1347523,ZP,1,PC,20140806,20130207,20140521,1677,CI,I,2,,,
1347523,ZP,1,PC,20160715,20130918,20160322,1910,CI,I,2,,,
1347539,ZP,974,RL,20130810,20130108,20130701,526,RD,I,1,,,
1347539,ZP,162,CJ,20160803,20160331,,950,MU,C,1,,,
1347540,ZP,73,SL,20120222,20120110,,4198,RD,I,1,,,
1347540,ZP,73,FT,20120106,20110105,,23459,RD,I,1,,,
1347540,ZP,73,FT,20150825,20150727,,17260,RD,I,1,,,
1347540,ZP,73,FT,20160413,20160106,,10787,RD,I,1,,,
1347548,ZP,29R,PC,20100114,20100114,20100419,203,CI,C,1,,,
1347550,ZP,381,3D,20121127,20120731,20121126,,FE,I,1,,,
1347552,ZP,16E,7X,20110721,20110408,20110720,,FE,I,1,,,
1347559,Z,542,PL,20100611,20100611,20100711,345,RD,I,1,,,
1347563,Z,111,CJ,20101130,20101108,,834,CI,I,2,,,
1347564,Z,111,CJ,20101130,20101108,,834,CI,I,2,,,
1347565,ZP,14,PC,20140719,20130523,20131015,904,CI,I,1,,,
1347565,ZP,15,SL,20130507,20130415,,856,RD,C,1,,,
1347566,ZP,67,PC,20160708,20121018,20130122,971,CI,C,1,,,
1347566,ZP,67,PC,20130327,20120326,20130318,1498,CI,I,1,,,
1347571,Z,134,CJ,20110503,20110422,,2530,CI,I,1,,,
1347571,Z,134,CJ,20130123,20120924,,3370,CI,I,1,,,
1347573,ZP,373,7X,20150817,20130418,20140718,,BK,I,1,,,
1347574,Z,10R,FT,20160831,20160707,,32949,RD,I,1,,,
1347581,ZP,26P,3D,20101030,20100714,20101029,,FE,C,1,,,
1347581,ZP,26P,3X,20150210,20120530,20150209,,FE,C,1,,,
1347581,ZP,26P,3D,20120523,20101025,20120522,,FE,C,1,,,
1347585,ZP,82,7X,20141231,20140815,20141229,,FE,I,1,,,
1347587,ZP,34,CJ,20151028,20150826,,2718,CI,I,1,,,
1347587,ZP,881,CB,20111005,20110412,20111108,10267,CI,I,1,,,
1347587,ZP,830,7X,20120224,20111108,20120223,,FE,I,1,,,
1347594,ZP,108,3F,20150331,20150330,,,FE,I,1,,,
1347596,ZP,26L,7X,20121004,20120629,20121002,,FE,I,1,,,
1347601,ZP,168,CJ,20100122,20091218,,1701,CI,I,1,,,
1347601,ZP,167,PL,20150216,20140722,20140822,146,RD,I,1,,,
1347604,ZP,419,3X,20150326,20100226,20150325,,FE,I,1,,,
1347616,ZP,12,PC,20120323,20120123,20120312,740,CI,I,1,,,
1347616,ZP,12,CJ,20101202,20101025,,222,CI,I,1,,,
1347624,Z,303,CJ,20110507,20110308,,2661,CI,I,1,,,
1347624,Z,303,PC,20140814,20130213,20140318,966,CI,I,2,,,
1347629,ZP,415,7X,20130228,20120911,20130226,,FE,I,1,,,
1347635,ZP,706,7X,20140131,20120508,20120820,,BK,I,1,,,
1347636,ZP,419,7X,20110928,20110621,20110927,,FE,I,1,,,
1347638,ZP,632,7X,20111019,20110714,20111018,,FE,I,1,,,
1347641,ZP,13V,7X,20101001,20100608,20100930,,FE,C,1,,,
1347657,ZP,276,3X,20160902,20110701,20160901,,FE,I,1,,,
1347657,ZP,161,CJ,20101102,20101019,,3204,CI,I,1,,,
1347659,ZP,20H,PC,20130319,20110111,20110317,184,CI,I,1,,,
1347662,ZP,81,CJ,20160802,20160414,,634,CI,I,1,,,
1347662,ZP,82,7X,20120711,20120322,20120709,,FE,I,1,,,
1347662,Z,83,CB,20120106,20111219,20120322,3007,CI,I,1,,,
1347676,ZP,20M,CJ,20140514,20140131,,4689,SU,I,1,,,
1347676,ZP,469,CJ,20141216,20120917,,27077,RD,I,1,,,
1347676,ZP,20S,CJ,20130116,20120815,,2964,MU,I,1,,,
1347687,ZP,203,7X,20111015,20110708,20111012,,FE,I,1,,,
1347689,ZP,203,7F,20160812,20160811,,,FE,I,1,,,
1347690,ZP,137,PC,20120504,20110627,20120420,250,CI,C,1,,,
1347690,ZP,170,CJ,20110421,20110302,,187,CI,C,1,,,
1347690,ZP,439,3X,20150828,20100218,20150827,,FE,C,1,,,
1347690,ZP,165,CJ,20130108,20121114,,315,CI,I,1,,,
1347691,ZP,137,PC,20120504,20110627,20120420,250,CI,C,1,,,
1347691,ZP,170,CJ,20110421,20110302,,187,CI,C,1,,,
1347691,ZP,439,3X,20150828,20100218,20150827,,FE,C,1,,,
1347693,ZP,212,CJ,20140429,20140218,,1033,MU,I,1,,,
1347694,ZP,00X,CJ,20130515,20130408,,1102,CI,I,1,,,
1347694,ZP,00X,PC,20130424,20130308,20130326,551,CI,I,1,,,
1347694,ZP,00X,PC,20130130,20121204,20121214,551,CI,I,1,,,
1347707,ZP,55,PF,20131017,20111013,20130927,26512,RD,I,1,,,
1347707,ZP,102,CJ,20140114,20131227,,1300,CI,I,1,,,
1347709,ZP,99,CJ,20120530,20120412,,1936,CI,I,1,,,
1347712,ZP,46,CJ,20160524,20160304,,2709,CI,I,1,,,
1347738,ZP,3,7X,20140110,20130731,20140109,,FE,C,1,,,
1347738,ZP,75,CB,20120111,20111214,20130731,4265,CI,C,1,,,
1347738,ZP,29,CB,20120315,20110414,20130731,1249,CI,I,1,,,
1347739,ZP,3,7X,20140110,20130731,20140109,,FE,C,1,,,
1347739,ZP,75,CB,20120111,20111214,20130731,4265,CI,C,1,,,
1347739,ZP,29,CB,20120315,20110414,20130731,1249,CI,I,1,,,
1347742,ZP,25,CJ,20160414,20160317,,2175,CI,I,1,,,
1347745,ZP,11Z,PC,20130416,20130107,20130215,290,CI,C,1,,,
1347747,ZP,236,PC,20111216,20100429,20111207,13359,CI,I,1,,,
1347749,ZP,1,PC,20150501,20130613,20150402,889,CI,I,1,,,
1347750,ZP,289,CJ,20120214,20120111,,25000,CI,I,1,,,
1347752,ZP,35P,7X,20140819,20140428,20140818,,FE,C,1,,,
1347754,ZP,25R,RL,20120310,20100910,20120222,1116,RD,I,1,,,
1347754,ZP,26P,7X,20070601,20070601,20070910,,BK,I,1,,,
1347759,ZP,632,7X,20120509,20120119,20120508,,FE,C,1,,,
1347762,ZP,974,SL,20101007,20100923,,3330,RD,I,1,,,
1347762,ZP,27F,PC,20160921,20150619,20150908,560,CI,I,1,,,
1347764,ZP,352,PF,20120905,20070611,20120824,2467,RD,C,1,,,
1347764,ZP,352,PF,20151008,20090209,20151005,3800,RD,C,1,,,
1347779,ZP,435,7X,20140530,20140224,20140528,,FE,C,1,,,
1347779,ZP,118,CB,20131218,20131015,20140224,1010,CI,C,1,,,
1347779,ZP,118,CB,20130328,20130205,20140224,1200,CI,C,1,,,
1347779,ZP,117,CB,20130125,20121210,20140224,276,CI,C,1,,,
1347779,ZP,118,CB,20120731,20120508,20140224,369,CI,C,1,,,
1347779,ZP,117,CB,20120425,20120123,20140224,460,CI,C,1,,,
1347779,ZP,117,CB,20120331,20111212,20140224,557,CI,C,1,,,
1347779,ZP,117,CB,20111209,20111017,20140224,735,CI,C,1,,,
1347779,ZP,117,CB,20111115,20110912,20140224,731,CI,C,1,,,
1347779,ZP,117,CB,20101201,20101115,20140224,365,CI,C,1,,,
1347779,ZP,117,CB,20101013,20100913,20140224,250,CI,C,1,,,
1347779,ZP,117,CB,20160628,20100830,20140224,5066,CI,I,1,,,
1347779,ZP,117,CB,20160726,20100712,20140224,560,CI,C,1,,,
1347783,ZP,453,SL,20151110,20151104,,2799,RD,I,1,,,
1347783,ZP,453,SL,20151110,20151104,,2678,RD,I,1,,,
1347783,ZP,453,SL,20151110,20151104,,2396,RD,I,1,,,
1347783,ZP,453,SL,20151110,20151104,,2871,RD,I,1,,,
1347783,ZP,453,SL,20141031,20140722,,1902,RD,I,1,,,
1347783,ZP,453,SL,20141031,20140722,,2392,RD,I,1,,,
1347783,ZP,453,SL,20110301,20110207,,2359,RD,I,1,,,
1347783,ZP,453,SL,20110301,20110207,,2385,RD,I,1,,,
1347783,ZP,360,PF,20131113,20100831,20131105,22668,RD,I,1,,,
1347783,ZP,453,SL,20100721,20100323,,2760,RD,I,1,,,
1347783,ZP,453,SL,20100721,20100323,,3773,RD,I,1,,,
1347783,ZP,453,SL,20100721,20100323,,3759,RD,I,1,,,
1347784,ZP,453,SL,20151110,20151104,,2799,RD,I,1,,,
1347784,ZP,453,SL,20151110,20151104,,2678,RD,I,1,,,
1347784,ZP,453,SL,20151110,20151104,,2396,RD,I,1,,,
1347784,ZP,453,SL,20151110,20151104,,2871,RD,I,1,,,
1347784,ZP,453,SL,20141031,20140722,,1902,RD,I,1,,,
1347784,ZP,453,SL,20141031,20140722,,2392,RD,I,1,,,
1347784,ZP,453,SL,20110301,20110207,,2359,RD,I,1,,,
1347784,ZP,453,SL,20110301,20110207,,2385,RD,I,1,,,
1347784,ZP,360,PF,20131113,20100831,20131105,22668,RD,I,1,,,
1347784,ZP,453,SL,20100721,20100323,,2760,RD,I,1,,,
1347784,ZP,453,SL,20100721,20100323,,3773,RD,I,1,,,
1347784,ZP,453,SL,20100721,20100323,,3759,RD,I,1,,,
1347791,ZP,23,CJ,20141009,20140924,,3620,CI,I,1,,,
1347804,ZP,323,PL,20110514,20101016,20110511,546,RD,I,1,,,
1347805,ZP,436,PF,20110907,20081210,20100407,5214,RD,I,1,,,
1347813,Z,93,CJ,20101130,20101119,,1921,CI,C,1,,,
1347813,Z,93,CJ,20121211,20121207,,2875,CI,C,1,,,
1347817,ZP,97,RL,20140819,20111220,20140813,595,RD,I,1,,,
1347817,ZP,97,RL,20120207,20110217,20120202,519,RD,I,1,,,
1347817,ZP,97,RL,20120703,20110131,20120626,774,RD,I,1,,,
1347817,ZP,97,RL,20100615,20090826,20100609,865,RD,I,1,,,
1347817,ZP,97,RL,20131029,20130405,20131021,698,RD,I,1,,,
1347818,ZP,704,7X,20160818,20160513,20160816,,FE,I,1,,,
1347826,ZP,418,7X,20100428,20100121,20100427,,FE,I,1,,,
1347834,ZP,464,CJ,20120424,20110225,,5774,CI,I,1,,,
